name,handle,platform,niche,followers_approx,profile_url,source_urls
Karla Teresa Venegas (Teté),@pasaportete,instagram,budget travel Mexico,1.1M,https://www.instagram.com/pasaportete/,https://www.instagram.com/p/DdIDOj4iUn2/
Mariel Galán,@marieldeviaje,instagram,travel journalist Mexico,439.4K,https://www.instagram.com/marieldeviaje/,
Gabriela Valverde,@viajandocomgabi,instagram,budget slow travel Brazil,352.1K,https://www.instagram.com/viajandocomgabi/,https://www.youtube.com/watch?v=aaiePDUOSgg
Lala Rebelo,@lalarebelo,instagram,family budget travel Brazil,90K,https://www.instagram.com/lalarebelo/,https://lalarebelo.com/belize/
Jackie Rezk,@joujoutravels,instagram,luxury solo travel,174.7K,https://www.instagram.com/joujoutravels/,
Jenny,@the.wanderlust.blonde,instagram,UK London guides,163.6K,https://www.instagram.com/the.wanderlust.blonde/,
Rose,@wheregoesrose,instagram,solo budget travel,15.2K,https://www.instagram.com/wheregoesrose/,https://www.wheregoesrose.com/3-day-busan-itinerary/
Emily Cooper,@emilyeatsandexplores,instagram,food travel itineraries,131.9K,https://www.instagram.com/emilyeatsandexplores/,https://trovatrip.com/trip/central-america/costa-rica/costa-rica-with-emily-cooper-jul-2024
Melissa Gasia,@melissagasia,instagram,slow travel,116K,https://www.instagram.com/melissagasia/,
Thuy,@travelsonbudget,instagram,budget travel hacks,93.2K,https://www.instagram.com/travelsonbudget/,https://www.instagram.com/reel/DdJ4YAIpwIy/
Em,@emsbudgettravel,instagram,budget travel,64K,https://www.instagram.com/emsbudgettravel/,
Steph,@bigworldsmallpockets,instagram,budget slow travel,59.7K,https://www.instagram.com/bigworldsmallpockets/,https://www.bigworldsmallpockets.com/one-day-bordeaux-itinerary/
Sunny Flaherty,@thenomadicsunny,instagram,solo female travel,55.1K,https://www.instagram.com/thenomadicsunny/,
Marissa Ellsworth,@mletraveldiary,instagram,solo travel,45.7K,https://www.instagram.com/mletraveldiary/,https://mletraveldiary.com/destinations/santa-barbara-day-trip-itinerary/
Maisie Walker,@_experienceaddict_,instagram,travel experiences,35.6K,https://www.instagram.com/_experienceaddict_/,
Jeremy Cash,@jayunaccompanied,instagram,solo travel experiences,23.2K,https://www.instagram.com/jayunaccompanied/,
Sofia B,@world.of.sofiab,instagram,budget solo travel,21.7K,https://www.instagram.com/world.of.sofiab/,
Kris,@journeyswithkris,instagram,solo travel itineraries,103.4K,https://www.instagram.com/journeyswithkris/,
Jessie Festa,@jessieonajourney,instagram,solo travel itineraries,31K,https://www.instagram.com/jessieonajourney/,
Christine Ka'aloa,@grrrltraveler,instagram,solo travel guides,20.8K,https://www.instagram.com/grrrltraveler/,
Kaylen,@kaylendoestuff,instagram,solo travel,48K,https://www.instagram.com/kaylendoestuff/,https://www.instagram.com/reel/DdTt2yXtHs2/
Ciara,@hey_ciara,instagram,solo travel,124.4K,https://www.instagram.com/hey_ciara/,
Phoebe Lee,@travelforphoebe,instagram,solo travel guides,77K,https://www.instagram.com/travelforphoebe/,https://travelforphoebe.com/the-best-2-day-itinerary-on-mount-fuji/
Alexa West,@sologirlstravelguide,instagram,solo travel guidebooks,54.5K,https://www.instagram.com/sologirlstravelguide/,
Valerie Joy Wilson,@trustedtravelgirl,instagram,solo travel expert,122.8K,https://www.instagram.com/trustedtravelgirl/,
