name,handle,platform,niche,followers_approx,profile_url,source_urls
Joan,@joansfootprints,tiktok,Philippines budget travel,49.2K,https://www.tiktok.com/@joansfootprints,http://joansfootprints.com/2025/02/18/bicol-backpacking-catanduanes-albay-sorsogon-ultimate-diy-itinerary-for-first-timers/
Adell Baker,@adell.explores,tiktok,"UK travel, staycations and hikes",68.4K,https://www.tiktok.com/@adell.explores,https://www.tiktok.com/@adell.explores/video/7525487843072451478
Julia,@staysandgetaways,tiktok,Luxury travel inspiration and unique stays,419.5K,https://www.tiktok.com/@staysandgetaways,https://www.tiktok.com/@staysandgetaways/video/7632773916057947406
Viviana,@vivianaaltea,tiktok,Travel creator (Italy/Europe),12.1K,https://www.tiktok.com/@vivianaaltea,https://www.tiktok.com/@vivianaaltea/video/7620505376185650454
Kim Bulan,@kim_bulan4,tiktok,Bali travel,62.4K,https://www.tiktok.com/@kim_bulan4,https://www.tiktok.com/@kim_bulan4/video/7543998408571243796
Vanny Tang,@vannytelly,tiktok,Singapore-based travel (Vietnam),81.8K,https://www.tiktok.com/@vannytelly,https://www.tiktok.com/@vannytelly/video/7585058634669903124
Jeje Jaelani,@somay.mekdi,tiktok,Bandung travel (Indonesia),354.5K,https://www.tiktok.com/@somay.mekdi,https://www.tiktok.com/@somay.mekdi/video/7624855363052997908
Alan Huitron,@viajaland,tiktok,Peru budget travel,386K,https://www.tiktok.com/@viajaland,https://www.tiktok.com/@viajaland/video/7640281987332279573
Mary,@marymatheustraveler,tiktok,Tennessee/US travel,322.5K,https://www.tiktok.com/@marymatheustraveler,https://www.tiktok.com/@marymatheustraveler/video/7567550908217773343
Mariana,@sonhealtoviagens,tiktok,Brazil travel (Itacaré),501.9K,https://www.tiktok.com/@sonhealtoviagens,https://www.tiktok.com/@sonhealtoviagens/video/7609058815115382034
Ishry van Valkengoed,@valkengoedtravel,tiktok,Philippines travel,13.1K,https://www.tiktok.com/@valkengoedtravel,https://www.tiktok.com/@valkengoedtravel/photo/7602549629825142049
Gina,@ginacwiklinski,tiktok,"Italy/France travel (Amalfi Coast, French Riviera)",19.0K,https://www.tiktok.com/@ginacwiklinski,https://www.tiktok.com/@ginacwiklinski/photo/7641692886282620168;https://www.tiktok.com/@ginacwiklinski/photo/7606448536602856711
Tav (Tav Reviews Everything),@antavialauren,tiktok,itineraries & food travel,79.5K,https://www.tiktok.com/@antavialauren,https://www.tiktok.com/@antavialauren/video/7488843573119536415
Emily Buchtel,@emilyyyybuchtel,tiktok,Colorado day-trip itineraries,69000,https://www.tiktok.com/@emilyyyybuchtel,https://www.tiktok.com/@emilyyyybuchtel/video/7638309365354679583;https://www.tiktok.com/@emilyyyybuchtel/video/7638769919563205918
Laura Vogel,@lauravogelle,tiktok,Paris 48-hour itinerary,11300,https://www.tiktok.com/@lauravogelle,https://www.tiktok.com/@lauravogelle/video/7495774131200232734
Mile Mendoza,@laagendademile,tiktok,Italy 7-day itinerary,302700,https://www.tiktok.com/@laagendademile,https://www.tiktok.com/@laagendademile/video/7585751562161622292
Audris,@audris_lim,tiktok,Kyoto one-day itinerary,16900,https://www.tiktok.com/@audris_lim,https://www.tiktok.com/@audris_lim/video/7608301243190103309
Sherla,@sherlaolivia_,tiktok,Grenada 5-day itinerary,14800,https://www.tiktok.com/@sherlaolivia_,https://www.tiktok.com/@sherlaolivia_/video/7559999522412301623
Mari,@ridewithmari,tiktok,Crete 6-day itinerary,24100,https://www.tiktok.com/@ridewithmari,https://www.tiktok.com/@ridewithmari/video/7604413882647448855
Annachan,@annagroessl,tiktok,Japan 15-day itinerary,28000,https://www.tiktok.com/@annagroessl,https://www.tiktok.com/@annagroessl/photo/7615865157205380374
MareMo,@vistanirish,tiktok,Cebu 3D2N itinerary,644200,https://www.tiktok.com/@vistanirish,https://www.tiktok.com/@vistanirish/video/7522024214480604424
