name,handle,platform,niche,followers_approx,profile_url,source_urls
Meghan,@meghanorourkee,tiktok,winter travel,408500,https://www.tiktok.com/@meghanorourkee,https://www.tiktok.com/@meghanorourkee/video/7438522433746881835
Darren,@darrenshavae,tiktok,travel,13400,https://www.tiktok.com/@darrenshavae,https://www.tiktok.com/@darrenshavae/video/7523587289868455181
Sophie,@tzatchickie,tiktok,greece travel,133300,https://www.tiktok.com/@tzatchickie,https://www.tiktok.com/@tzatchickie/video/7610847293901688097
Min,@minywander,tiktok,travel lifestyle,11500,https://www.tiktok.com/@minywander,https://www.tiktok.com/@minywander/video/7636776828895497503
dwanderess,@dwanders,tiktok,travel,60900,https://www.tiktok.com/@dwanders,https://www.tiktok.com/@dwanders/video/7513684450497006904
Josie,@seewithjosie,tiktok,travel creator,33400,https://www.tiktok.com/@seewithjosie,https://www.tiktok.com/@seewithjosie/video/7631669355092233494
Ashley Nicole,@ashlaygoose,tiktok,travel,31800,https://www.tiktok.com/@ashlaygoose,https://www.tiktok.com/@ashlaygoose/video/7575342985991195959
Jasmine,@jasmine_lanae_,tiktok,family travel,23.1K,https://www.tiktok.com/@jasmine_lanae_,https://www.tiktok.com/@jasmine_lanae_/video/7612380372273270046
Tia,@everydropoftia,tiktok,travel,28.9K,https://www.tiktok.com/@everydropoftia,https://www.tiktok.com/@everydropoftia/video/7596642470528617750
Maddy,@gottabemaddy,tiktok,budget travel,159.1K,https://www.tiktok.com/@gottabemaddy,https://www.tiktok.com/@gottabemaddy/video/7579341295160708365
Alexis Zotos,@alexis_zotos,tiktok,midwest travel,48.2K,https://www.tiktok.com/@alexis_zotos,https://www.alexiszotos.com/blog-posts/7-spring-break-itineraries-in-st-louis-where-to-eat-drink-explore
Sam Culley,@samrculley,tiktok,travel,330K,https://www.tiktok.com/@samrculley,https://www.tiktok.com/@samrculley/video/7473183593674607894
Iris,@irisabv,tiktok,travel,247.1K,https://www.tiktok.com/@irisabv,https://www.tiktok.com/@irisabv/video/7602633461878295830
Quin Gable,@quingable,tiktok,van life,1200000,https://www.tiktok.com/@quingable,https://www.tiktok.com/@quingable/video/7428021254650645791
Madison Brooks,@madisonbrookstravel,tiktok,travel guides,360400,https://www.tiktok.com/@madisonbrookstravel,https://www.tiktok.com/@madisonbrookstravel/video/7580531799017770253
Brittany Erekson,@brittany.erekson,tiktok,road trips,12700,https://www.tiktok.com/@brittany.erekson,https://www.tiktok.com/@brittany.erekson/video/7622442568562855182
Anna,@anna.utazik,tiktok,travel itineraries,87100,https://www.tiktok.com/@anna.utazik,https://www.tiktok.com/@anna.utazik/video/7614838109192097046
Karen,@karenexplores,tiktok,South Korea travel,30400,https://www.tiktok.com/@karenexplores,https://www.tiktok.com/@karenexplores/video/7475306178168376583
Alyssa Blake,@itsalyssablake,tiktok,travel,614900,https://www.tiktok.com/@itsalyssablake,https://www.tiktok.com/@itsalyssablake/video/7635292542468132109
Ally Porz,@ally.porz,tiktok,travel,16000,https://www.tiktok.com/@ally.porz,https://www.tiktok.com/@ally.porz/video/7588563559219465502
Nicolette,@jetset.nicolette,tiktok,travel,10000,https://www.tiktok.com/@jetset.nicolette,https://www.tiktok.com/@jetset.nicolette/video/7533314121530346807
Genesis,@beercutieandfoodie,tiktok,travel,97000,https://www.tiktok.com/@beercutieandfoodie,https://www.tiktok.com/@beercutieandfoodie/video/7568188871935053111
Renee,@renee.roaming,tiktok,travel itineraries,412400,https://www.tiktok.com/@renee.roaming,https://www.tiktok.com/@renee.roaming/video/7606790109979102478
Taylor,@taytakesatrip,tiktok,Midwest travel and unique stays,38800,https://www.tiktok.com/@taytakesatrip,https://www.tiktok.com/@taytakesatrip/video/7496957767614352683
Taylor Taverna,@tavernatravels,tiktok,travel guides,45200,https://www.tiktok.com/@tavernatravels,https://www.tiktok.com/@tavernatravels/video/7542311550212787487
