name,handle,platform,niche,followers_approx,profile_url,source_urls
Kristina Cors,@kristinacors,tiktok,nyc-travel,755.2K,https://www.tiktok.com/@kristinacors,https://urlebird.com/user/kristinacors/ | https://www.tiktok.com/@kristinacors/video/7620248311236152606
Lisa Hero,@heroiisa,tiktok,budget-travel,139.3K,https://www.tiktok.com/@heroiisa,https://www.tiktok.com/@heroiisa
Naty,@natyexplora,tiktok,adventure-travel,250K+,https://www.tiktok.com/@natyexplora,https://www.tiktok.com/@natyexplora/video/7562272275605572878 | https://www.famousbirthdays.com/people/natyexplora.html
Lexi Hidalgo,@lexxhidalgo,tiktok,travel-guides,2.7M,https://www.tiktok.com/@lexxhidalgo,https://www.tiktok.com/@lexxhidalgo/video/7648002741138148621
Shey Hernandez,@sheyhernandez96,tiktok,city-guides,60.3K,https://www.tiktok.com/@sheyhernandez96,https://www.tiktok.com/@sheyhernandez96/photo/7603593031815580941
Sofia,@explorewithsofs,tiktok,travel-guides,29.4K,https://www.tiktok.com/@explorewithsofs,https://www.tiktok.com/@explorewithsofs/video/7629653468499807521
Courtney,@letravelstyle,tiktok,road-trips,195.1K,https://www.tiktok.com/@letravelstyle,https://www.tiktok.com/@letravelstyle/photo/7522279351568583950
Meghana,@wanderingcreator_meghana,tiktok,city-guides,44.4K,https://www.tiktok.com/@wanderingcreator_meghana,https://www.tiktok.com/@wanderingcreator_meghana/video/7636934698786114829
Vitor,@vitortrip,tiktok,travel-guides,25.7K,https://www.tiktok.com/@vitortrip,https://www.tiktok.com/@vitortrip/photo/7600316183270722838 | https://www.tiktok.com/@vitortrip/photo/7604583232327175446
Kylah | Travel Creator,@gokylahgo,tiktok,budget/micro-trip travel itineraries,52.6K,https://www.tiktok.com/@gokylahgo,https://www.tiktok.com/@gokylahgo
Lisarosaa | California&Travel,@lisarosanty,tiktok,California/US travel guides and itineraries,22.2K,https://www.tiktok.com/@lisarosanty,https://www.tiktok.com/@lisarosanty
Erfan | Epic America,@epicamerica_,tiktok,US road-trip / city travel,11.6K,https://www.tiktok.com/@epicamerica_,https://www.tiktok.com/@epicamerica_
Carissamonyce | Travel Creator,@carissamonyce,tiktok,travel creator,193.5K,https://www.tiktok.com/@carissamonyce,https://www.tiktok.com/@carissamonyce
Alexa Moore | travel creator,@lilmsawkward,tiktok,cultural travel / African diaspora experiences,123.5K,https://www.tiktok.com/@lilmsawkward,https://www.tiktok.com/@lilmsawkward
Call Me Candace,@callmecandace.tv,tiktok,food and travel,691.5K,https://www.tiktok.com/@callmecandace.tv,https://www.tiktok.com/@callmecandace.tv
Talia | Travel & Lifestyle,@twirlliketalia,tiktok,travel guides / luxury hotels / food,96.4K,https://www.tiktok.com/@twirlliketalia,https://www.tiktok.com/@twirlliketalia
christian.the.creative,@christian.the.creative,tiktok,cinematic travel films / national parks,89.2K,https://www.tiktok.com/@christian.the.creative,https://www.tiktok.com/@christian.the.creative
skylietravels,@skylietravels,tiktok,solo budget travel,70.3K,https://www.tiktok.com/@skylietravels,https://www.tiktok.com/@skylietravels
Detourista | travel creator,@detouristahq,tiktok,travel creator (Asia itineraries / promo codes),58.1K,https://www.tiktok.com/@detouristahq,https://www.tiktok.com/@detouristahq
Jessmelu | Travel Creator,@jessmelu,tiktok,travel guides / city itineraries,538.7K,https://www.tiktok.com/@jessmelu,https://www.tiktok.com/@jessmelu
thoughtsofatraveller,@thoughtsofatraveller,tiktok,Southeast Asia budget travel / itineraries,23.4K,https://www.tiktok.com/@thoughtsofatraveller,https://www.tiktok.com/@thoughtsofatraveller
Helene Sula,@heleneinbetween,tiktok,UK/Europe walking travel blogger,375.9K,https://www.tiktok.com/@heleneinbetween,https://www.tiktok.com/@heleneinbetween
Veronika (surname unconfirmed; first-name-only),@travelwithveronicca,tiktok,"London & travel, photography itineraries",86.6K,https://www.tiktok.com/@travelwithveronicca,https://www.tiktok.com/@travelwithveronicca
Farirai Sanyika (Fari),@gopharitravels,tiktok,"solo travel, Africa",227.3K,https://www.tiktok.com/@gopharitravels,https://www.tiktok.com/@gopharitravels
Audy (first-name-only),@travelwithkna,tiktok,Canada travel guides,31.8K,https://www.tiktok.com/@travelwithkna,https://www.tiktok.com/@travelwithkna
