name,handle,platform,niche,followers_approx,profile_url,source_urls
Tanya Khanijow,@tanyakhanijow,instagram,travel,1.5M,https://www.instagram.com/tanyakhanijow/,https://qoruz.com/tanyakhanijow; https://starngage.com/plus/en-us/influencers/instagram/tanyakhanijow
Shivya Nath,@shivya,instagram,slow travel / sustainable travel,>130K,https://www.instagram.com/shivya/,https://the-shooting-star.com/perfect-3-day-goa-itinerary/; https://www.famousbirthdays.com/people/shivya-nath.html
Apoorva Rao,@apytravelstories,instagram,travel,463.9K,https://www.instagram.com/apytravelstories/,http://heepsy.com/instagram-profile/apytravelstories; https://www.youtube.com/shorts/haWUOIhreCg; https://www.youtube.com/shorts/RzkqlJVppEU
Marcie Cheung,@marcieinmommyland,instagram,family travel,11.7K,https://www.instagram.com/marcieinmommyland/,https://www.marcieinmommyland.com/about-me-seattle-travel-blogger/; https://www.marcieinmommyland.com/7-days-in-paris-with-kids/
Eric Stoen,@travelbabbo,instagram,family travel,363.3K,https://www.instagram.com/travelbabbo/,https://artviva.com/inspirations/behind-travelbabbo-how-influencer-eric-stoen-fell-in-love-with-italy/; https://travelbabbo.com/six-asian-countries-with-kids/
Jenny Lynn,@travelynnfamily,instagram,family travel,28.2K,https://www.instagram.com/travelynnfamily/,https://travelynnfamily.com; https://travelynnfamily.com/indonesia-with-kids-java-bali-and-lombok/
Evie (Mumpack Travel),@mumpacktravel,instagram,travel,132.2K,https://www.instagram.com/mumpacktravel/,https://mumpacktrips.com.au/luxe-komodo-womens-adventure-2026-2027/
Katja Gaskell,@globetotting,instagram,family travel,19.7K,https://www.instagram.com/globetotting,https://globetotting.com/three-days-in-amsterdam-itinerary/; https://globetotting.com/things-to-do-in-london-in-september-with-kids/
Ting Dalton,@ting_dalton,instagram,family travel,14.8K,https://www.instagram.com/ting_dalton,https://www.my-travelmonkey.com/3-day-istanbul-itinerary/
Priya,@outsidesuburbia,instagram,family travel,42.4K,https://www.instagram.com/outsidesuburbia,https://outsidesuburbia.com/art/2-days-in-bern-a-slow-travel-guide-to-switzerlands-most-charming-capital/
Leah,@fivefortheroadblog,instagram,family travel,20.7K,https://www.instagram.com/fivefortheroadblog,https://fivefortheroad.com/london-paris-itinerary-with-kids/
Melynda Harrison,@travelingmelmt,instagram,family travel,36.1K,https://www.instagram.com/travelingmelmt,https://travelingmel.com/iceland-without-a-car-based-in-reykjavik/
Claire,@tinboxtraveller,instagram,family travel,12.4K,https://www.instagram.com/tinboxtraveller,https://tinboxtraveller.co.uk/a-day-trip-from-lake-garda-to-venice-with-kids/
Claudia Laroye,@itsclaudiatravels,instagram,family travel,20.3K,https://www.instagram.com/itsclaudiatravels,https://claudiatravels.com/best-weekend-in-montreal/
Sarah Lorimer De Santi,@the5worldexplorers,instagram,family travel,19.7K,https://www.instagram.com/the5worldexplorers,https://www.the5worldexplorers.com/5-days-in-hong-kong/
Kam,@ourfamilypassport,instagram,family travel,76.4K,https://www.instagram.com/ourfamilypassport,https://www.ourfamilypassport.com/where-to-go-in-fiji-with-kids/; https://www.ourfamilypassport.com/about/
Orlagh Shanks,@orlaghclaire,instagram,road trip,17.8K,https://www.instagram.com/orlaghclaire/,http://orlaghclaire.com/travel/a-9-day-road-trip-across-the-east-coast-of-america-travel-route/; https://influencers.feedspot.com/australian_digital_nomad_instagram_influencers/
Anuradha Goyal,@anuradhagoyal,instagram,travel,28.6K,https://www.instagram.com/anuradhagoyal/,https://www.instagram.com/anuradhagoyal/
Ami Bhat,@amibhat,instagram,travel,16.7K,https://www.instagram.com/amibhat/,https://www.instagram.com/amibhat/
Indrani Ghose,@indranipics,instagram,cultural travel,60.3K,https://www.instagram.com/indranipics/,https://www.instagram.com/indranipics/
Aakanksha Monga,@aakanksha.monga,instagram,travel,1.4M,https://www.instagram.com/aakanksha.monga/,https://www.instagram.com/aakanksha.monga/
Sachi Kumar,@wheresachi,instagram,travel,33.9K,https://www.instagram.com/wheresachi/,https://www.instagram.com/wheresachi/
Radhika Sharma,@radhika_nomllers,instagram,travel,782.4K,https://www.instagram.com/radhika_nomllers/,https://www.instagram.com/radhika_nomllers/
Kritika Goel,@kritika_goel,instagram,travel,180.3K,https://www.instagram.com/kritika_goel/,https://www.instagram.com/kritika_goel/
Alyssa Ramos,@mylifesatravelmovie,instagram,solo female adventure travel,209K,https://www.instagram.com/mylifesatravelmovie,https://mylifesamovie.com
