name,handle,platform,niche,followers_approx,profile_url,source_urls
Pete Rojwongsuriya,@bucketlistly,instagram,solo travel,33.1K,https://www.instagram.com/bucketlistly/,https://influencers.feedspot.com/solo_travel_instagram_influencers/|https://www.bucketlistly.blog/posts/costa-rica-backpacking-itinerary
Lakshmi Sharath,@lakshmisharath,instagram,solo travel,14K,https://www.instagram.com/lakshmisharath/,https://influencers.feedspot.com/solo_female_travel_instagram_influencers/|https://lakshmisharath.com/sunderbans-beyond-the-tiger-local-experiences/
Vanessa,@wandersmiles,instagram,solo travel,28K,https://www.instagram.com/wandersmiles/,https://influencers.feedspot.com/solo_female_travel_instagram_influencers/|https://www.wandersmiles.com/2-days-in-granada-spain/|https://www.wandersmiles.com/work-with-wanders-miles/
Ioana Moga,@solotravelinstyle,instagram,solo travel,79997,https://www.instagram.com/solotravelinstyle/,https://influencers.feedspot.com/solo_female_travel_instagram_influencers/|https://thesolotravelinstyleblog.com/nyc-one-week-itinerary/
Abigail A,@theladywhotravels_,instagram,solo travel,114497,https://www.instagram.com/theladywhotravels_/,https://influencers.feedspot.com/solo_travel_instagram_influencers/|https://www.theladywhotravels.com/1-week-in-italy-itinerary/
Anna Sherchand,@annasherchand,instagram,solo travel,49562,https://www.instagram.com/annasherchand/,https://annasherchand.com/5-days-in-nukualofa-tonga-itinerary/|https://annasherchand.com/greece-itinerary-14-days/
