name,handle,platform,niche,followers_approx,profile_url,source_urls
Aytan Abbasli,@uktravel,tiktok,uk-travel,708.4K,https://www.tiktok.com/@uktravel,https://www.tiktok.com/@uktravel
Nikita,@nikitabathia,tiktok,luxury-travel,68K,https://www.tiktok.com/@nikitabathia,https://www.tiktok.com/@nikitabathia
Sandy,@sandymakessense,tiktok,travel-london,224.3K,https://www.tiktok.com/@sandymakessense,https://www.tiktok.com/@sandymakessense
Julia,@juliatraveltips,tiktok,itineraries-maps,21.8K,https://www.tiktok.com/@juliatraveltips,https://www.tiktok.com/@juliatraveltips
Ellie,@thegingerwanderlust,tiktok,uk-travel-blogger,113.5K,https://www.tiktok.com/@thegingerwanderlust,https://www.tiktok.com/@thegingerwanderlust
Candace,@CandaceAbroad,tiktok,uk-europe-travel,93.4K,https://www.tiktok.com/@CandaceAbroad,https://www.tiktok.com/@CandaceAbroad
Anna,@nospaceinmypassport,tiktok,london-travel-blogger,127.9K,https://www.tiktok.com/@nospaceinmypassport,https://www.tiktok.com/@nospaceinmypassport
wawawandering,@wawawandering__,tiktok,sweden-travel,28.7K,https://www.tiktok.com/@wawawandering__,https://www.tiktok.com/@wawawandering__
Abdul,@abdulwanders,tiktok,luxury-travel,69.2K,https://www.tiktok.com/@abdulwanders,https://www.tiktok.com/@abdulwanders
Sima,@thecuriouspixie,tiktok,travel-london,232.3K,https://www.tiktok.com/@thecuriouspixie,https://www.tiktok.com/@thecuriouspixie
maki,@makisantos_,tiktok,travel-lifestyle-food,170.3K,https://www.tiktok.com/@makisantos_,https://www.tiktok.com/@makisantos_
tobi,@aintthattobi,tiktok,travel-itineraries,26.5K,https://www.tiktok.com/@aintthattobi,https://www.tiktok.com/@aintthattobi
Amy Hulley,@amyenvoyage,tiktok,uk-travel,169.4K,https://www.tiktok.com/@amyenvoyage,https://www.tiktok.com/@amyenvoyage
Criostoir Connolly,@explorewithcriostoir,tiktok,ireland-travel,103.6K,https://www.tiktok.com/@explorewithcriostoir,https://www.tiktok.com/@explorewithcriostoir
herjoliejourney,@herjoliejourney,tiktok,travel-guides,42.6K,https://www.tiktok.com/@herjoliejourney,https://www.tiktok.com/@herjoliejourney
Chloe,@travelcheapwithchloe,tiktok,budget-uk-travel,20.1K,https://www.tiktok.com/@travelcheapwithchloe,https://www.tiktok.com/@travelcheapwithchloe
Hannah,@postcardsbyhannah,tiktok,luxury-travel-hotels,77.9K,https://www.tiktok.com/@postcardsbyhannah,https://www.tiktok.com/@postcardsbyhannah
Kelly,@kellyprincewright,tiktok,uk-travel,607.9K,https://www.tiktok.com/@kellyprincewright,https://www.tiktok.com/@kellyprincewright
Elise,@elisetanriverdi,tiktok,solo-female-travel,38.8K,https://www.tiktok.com/@elisetanriverdi,https://www.tiktok.com/@elisetanriverdi
Beni Hunyadi,@benihunyadi2,tiktok,travel-ugc,11.7K,https://www.tiktok.com/@benihunyadi2,https://www.tiktok.com/@benihunyadi2
Kriszti,@shewandersabroad,tiktok,luxury-travel,114.8K,https://www.tiktok.com/@shewandersabroad,https://www.tiktok.com/@shewandersabroad
The Blonde Flamingo,@theblondeflamingo,tiktok,luxury-travel-wellness,184.6K,https://www.tiktok.com/@theblondeflamingo,https://www.tiktok.com/@theblondeflamingo
Chloe Jade,@chloejadetravels,tiktok,adventure-travel,574.3K,https://www.tiktok.com/@chloejadetravels,https://www.tiktok.com/@chloejadetravels
Eva (first-name-only),@evapzc,tiktok,"French travel, road trips",47.4K,https://www.tiktok.com/@evapzc,https://www.tiktok.com/@evapzc
Eleonora (first-name-only),@trip.on.the.road,tiktok,Italian travel creator,12.0K,https://www.tiktok.com/@trip.on.the.road,https://www.tiktok.com/@trip.on.the.road
