name,handle,platform,niche,followers_approx,profile_url,source_urls
Abby Vogel,@_abbyvogel,tiktok,budget,unknown,https://www.tiktok.com/@_abbyvogel,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Adrian Baias,@adrian.baias,tiktok,luxury,666K,https://www.tiktok.com/@adrian.baias,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Alva Vaz,@alvatheexplorer,tiktok,budget,unknown,https://www.tiktok.com/@alvatheexplorer,https://izea.com/resources/gen-z-travel-influencers/
Bodie,@bodiek,tiktok,adventure,245K,https://www.tiktok.com/@bodiek,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Claire and Peter,@claireandpeter,tiktok,budget,unknown,https://www.tiktok.com/@claireandpeter,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Courtnie and Nate,@courtandnate,tiktok,couples,1.6M,https://www.tiktok.com/@courtandnate,https://izea.com/resources/top-van-life-influencers/amp/
Danielle,@danidboyy1,tiktok,adventure,unknown,https://www.tiktok.com/@danidboyy1,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Daniel Young,@danmaniel,tiktok,adventure,2.4M,https://www.tiktok.com/@danmaniel,https://izea.com/resources/top-van-life-influencers/amp/
Dina Sarraj,@dinasarraj,tiktok,luxury,138K,https://www.tiktok.com/@dinasarraj,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Emma Expedition,@emmaexpedition,tiktok,adventure,unknown,https://www.tiktok.com/@emmaexpedition,https://izea.com/resources/tiktok-travel-influencers/amp/
Erika Kullberg,@erikakullberg,tiktok,points-miles,9.3M,https://www.tiktok.com/@erikakullberg,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Lucy Josephs,@footluce,tiktok,budget,unknown,https://www.tiktok.com/@footluce,https://www.highsocial.com/es/resources/travel-influencer-feed-your-wanderlust/
Maria,@heyshetravels,tiktok,adventure,unknown,https://www.tiktok.com/@heyshetravels,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Hudson and Emily,@hudsonandemily,tiktok,couples,479K,https://www.tiktok.com/@hudsonandemily,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Gizem,@itsjustgizem,tiktok,adventure,38.2K,https://www.tiktok.com/@itsjustgizem,https://izea.com/resources/tiktok-travel-influencers/amp/
Jacob Riglin,@jacob,tiktok,adventure,unknown,https://www.tiktok.com/@jacob,https://www.elonedge.com/blog/2022/4/22/travel-tiktokers-you-need-to-follow-right-now
Jord Entually,@jordentually,tiktok,adventure,3.7M,https://www.tiktok.com/@jordentually,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Kelsey,@kelseyinlondon,tiktok,food,391K,https://www.tiktok.com/@kelseyinlondon,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Ken and Tori,@kenxtori,tiktok,family,124.5K,https://www.tiktok.com/@kenxtori,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Michelle Gonzalez,@laxtoluxury,tiktok,luxury,unknown,https://www.tiktok.com/@laxtoluxury,https://www.afar.com/magazine/9-tiktok-accounts-giving-smart-useful-travel-advice
Alexa,@limsawkward,tiktok,itineraries,unknown,https://www.tiktok.com/@limsawkward,https://www.ef.nl/blog/language/tiktok-travel-inspo/
Lindsay Paige Stein,@lindsaypaigestein,tiktok,budget,unknown,https://www.tiktok.com/@lindsaypaigestein,https://www.elitedaily.com/lifestyle/how-to-travel-on-budget-after-college
Madeline,@lu_madeline,tiktok,family,1.3M,https://www.tiktok.com/@lu_madeline,https://www.ef.nl/blog/language/tiktok-travel-inspo/ | https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
Maddy,@madelinestraveling,tiktok,budget,unknown,https://www.tiktok.com/@madelinestraveling,https://izea.com/resources/tiktok-travel-influencers/amp/
Madlenna,@madlennaa2,tiktok,luxury,13K,https://www.tiktok.com/@madlennaa2,https://www.diarydirectory.com/newsarticle/lefty-reveals-the-top-travel-tiktok-influencers-to-follow-in-2025/65090
