name,handle,platform,niche,followers_approx,profile_url,source_urls
Adeline Gressin (Voyages etc),@voyagesetc,instagram,travel itineraries,13K,https://www.instagram.com/voyagesetc/,https://www.voyagesetc.fr/visiter-toscane-en-7-jours-itineraire-detaille/|https://www.voyagesetc.fr/destinations/europe/italie/toscane/|https://www.voyagesetc.fr/a-propos/|https://influencers.feedspot.com/travel_instagram_influencers/?_src=seealso|https://www.instagram.com/p/Dcbhoo-jvAZ/|https://impact.com/find-influencers/travel/Voyagesetc/
Gael Hilotin,@thepinaysolobackpacker,instagram,solo travel / Philippines budget itineraries,51.9K,https://www.instagram.com/thepinaysolobackpacker/,https://thepinaysolobackpacker.com/puerto-princesa-itinerary/|https://thepinaysolobackpacker.com/puerto-galera-itinerary/|https://www.buzzfeed.com/isabellelaureta/back-mader-packers|https://starngage.com/app/global/influencer/ranking/philippines/adventure
Isabella Biava,@boundlessroads,instagram,travel itineraries,16246,https://www.instagram.com/boundlessroads/,https://www.boundlessroads.com/flores-island-azores/
Charlotte Lint,@charlies_wanderings,instagram,travel itineraries,123065,https://www.instagram.com/charlies_wanderings/,https://charlieswanderings.com|https://www.instagram.com/charlies_wanderings/
Elise,@elise.abroad,instagram,city guides,29304,https://www.instagram.com/elise.abroad/,https://eliseabroad.com|https://www.instagram.com/elise.abroad/
Jess,@enjoytheadventures,instagram,travel itineraries,10204,https://www.instagram.com/enjoytheadventures/,https://enjoytheadventure.co.uk/visit-ischia-italy/
Kamila Napora,@kamischka,instagram,travel itineraries,11764,https://www.instagram.com/kamischka/,https://www.mywanderlust.pl/bosnia-and-herzegovina-itinerary/
Annick Lenoir-Peek,@thecommontraveler,instagram,travel itineraries,15092,https://www.instagram.com/thecommontraveler/,https://www.thecommontraveler.net/planning-a-relaxed-thailand-itinerary-for-first-time-visitors/
Jo,@wanderwithjo,instagram,travel itineraries,35147,https://www.instagram.com/wanderwithjo/,https://www.wanderwithjo.com/4-days-in-tromso/
